Subject.Code,Group,Speed,Shoe,Footstrike,Age,Mass,Height,Running.Economy,10K.PB,Contact.Time,BP.ratio,LU.ratio,HV.TD,BP.to.LU,SB,SM.Fit
39,0,0,1,0,30,67.6,174.4,215.5,50,0.2455,1.242,0.8321,0.0245,1.4926,86.2919,236.6304423
39,0,0,1,0,30,67.6,174.4,215.5,50,0.254,1.065,0.969,0.006,1.0991,88.7104,236.6304423
39,0,0,1,0,30,67.6,174.4,215.5,50,0.25,1.0576,1,0.0035,1.0576,88.516,236.6304423
39,0,0,0,0,30,67.6,174.4,215.5,50,0.236,1.0522,0.8154,0.015,1.2904,90.3669,135.4269002
39,0,0,0,0,30,67.6,174.4,215.5,50,0.239,1.0965,0.8599,0.0145,1.2751,90.9751,135.4269002
39,0,0,0,0,30,67.6,174.4,215.5,50,0.244,1.0504,0.8697,0.0115,1.2078,87.1273,135.4269002
39,0,0,0,0,30,67.6,174.4,215.5,50,0.2305,1.0766,0.8221,0.0155,1.3095,85.0426,135.4269002
39,0,0,0,0,30,67.6,174.4,215.5,50,0.237,1.1067,0.8023,0.019,1.3794,84.4727,135.4269002
40,0,0,1,0,23,54.5,159.2,233.4,47.5,0.2155,1.0922,0.968,0.0065,1.1283,95.7322,163.8059982
40,0,0,1,0,23,54.5,159.2,233.4,47.5,0.2295,1.1651,0.9449,0.012,1.233,92.578,163.8059982
40,0,0,1,0,23,54.5,159.2,233.4,47.5,0.2295,1.1449,0.97,0.0095,1.1803,92.5705,163.8059982
40,0,0,1,0,23,54.5,159.2,233.4,47.5,0.22,1.1154,0.9556,0.0085,1.1673,94.2036,163.8059982
40,0,0,1,0,23,54.5,159.2,233.4,47.5,0.2225,1.1394,0.9604,0.0095,1.1865,88.8535,163.8059982
40,0,0,0,0,23,54.5,159.2,233.4,47.5,0.2155,1.0235,0.8904,0.0075,1.1495,90.2631,87.0309137
40,0,0,0,0,23,54.5,159.2,233.4,47.5,0.219,1.1058,0.9043,0.011,1.2227,92.8653,87.0309137
40,0,0,0,0,23,54.5,159.2,233.4,47.5,0.217,0.955,0.9908,-0.002,0.9638,95.2935,87.0309137
40,0,0,0,0,23,54.5,159.2,233.4,47.5,0.2135,0.9953,0.9063,0.005,1.0983,86.324,87.0309137
40,0,0,0,0,23,54.5,159.2,233.4,47.5,0.2175,0.9773,0.867,0.0065,1.1273,90.7395,87.0309137
41,0,0,1,0,28,88.55,182.8,225.2,45,0.265,1.0543,0.6208,0.0345,1.6982,98.7833,250.8440707
41,0,0,1,0,28,88.55,182.8,225.2,45,0.2945,0.9248,0.6545,0.025,1.4131,105.1904,250.8440707
41,0,0,1,0,28,88.55,182.8,225.2,45,0.299,0.9801,0.6989,0.025,1.4025,80.6022,250.8440707
41,0,0,1,0,28,88.55,182.8,225.2,45,0.3105,1.2179,0.6784,0.045,1.7952,73.3101,250.8440707
41,0,0,1,0,28,88.55,182.8,225.2,45,0.2925,1.0172,0.625,0.035,1.6276,71.8408,250.8440707
41,0,0,0,0,28,88.55,182.8,225.2,45,0.26,0.8978,0.7162,0.0145,1.2536,87.6723,162.1361518
41,0,0,0,0,28,88.55,182.8,225.2,45,0.2625,0.8953,0.5861,0.027,1.5276,91.1098,162.1361518
41,0,0,0,0,28,88.55,182.8,225.2,45,0.2505,0.8352,0.6319,0.017,1.3216,89.9153,162.1361518
41,0,0,0,0,28,88.55,182.8,225.2,45,0.2715,0.9324,0.8221,0.0085,1.1341,88.2672,162.1361518
41,0,0,0,0,28,88.55,182.8,225.2,45,0.272,0.971,0.5906,0.033,1.644,98.2361,162.1361518
